date,locEnc,locSantoIsidoro,locEriceira,locCarvoeira,locAzueira,locMafra,locCheleiros,locGradil,locMilharado,locMalveira,locVenda,
24/03/2020,0,0,3,1,0,2,0,1,1,3,2,
25/03/2020,0,0,7,1,0,2,0,1,1,3,2,
26/03/2020,0,0,9,1,0,3,0,1,2,4,3,
27/03/2020,1,0,10,1,0,3,0,1,2,4,3,
28/03/2020,1,0,12,1,0,3,0,1,2,4,3,
29/03/2020,1,0,15,1,0,4,0,1,5,4,3,
30/03/2020,1,0,15,1,1,6,0,1,5,4,4,
31/03/2020,1,0,17,1,1,7,1,1,5,4,5,
01/04/2020,1,0,18,1,1,7,1,1,5,4,7,
02/04/2020,1,0,18,1,1,7,1,1,5,4,7,
03/04/2020,1,0,18,1,2,8,1,1,5,4,7,
04/04/2020,,,,,,,,,,,,
05/04/2020,,,,,,,,,,,,
06/04/2020,,,,,,,,,,,,
07/04/2020,1,0,20,1,3,10,0,1,8,5,7,
08/04/2020,1,0,20,1,3,13,0,1,9,5,7,
09/04/2020,1,0,21,1,3,13,0,1,9,7,7,
10/04/2020,1,0,20,1,2,14,0,1,9,7,9,
11/04/2020,1,0,20,1,3,13,0,1,10,7,9,
12/04/2020,1,0,20,1,3,13,0,1,13,7,9,
,,,,,,,,,,,,
14/04/2020,1,0,22,1,3,16,0,1,13,8,9,
15/04/2020,1,0,22,1,3,16,0,1,13,8,9,
16/04/2020,1,0,22,1,3,18,0,1,16,8,9,
17/06/2020,1,0,22,1,3,19,0,1,19,8,9,
18/04/2020,1,0,22,1,3,19,0,1,19,8,9,
19/04/2020,1,0,22,1,3,19,0,1,19,8,10,
20/04/2020,1,0,22,1,3,20,0,1,19,8,10,
21/04/2020,1,0,22,1,4,21,0,1,19,8,10,
22/04/2020,1,0,21,1,4,21,0,1,20,9,10,
23/04/2020,1,0,21,1,4,21,0,1,21,9,10,
24/04/2020,1,0,22,1,4,22,0,1,21,9,10,
25/04/2020,1,0,22,1,4,23,0,1,21,9,10,
26/04/2020,1,0,22,1,4,23,0,1,22,9,10,
27/04/2020,1,0,22,1,4,23,0,1,24,9,11,
28/04/2020,1,0,22,1,4,23,0,1,22,10,12,
29/04/2020,1,0,22,1,4,23,0,1,22,10,12,
30/04/2020,1,0,22,1,4,23,0,1,23,11,12,
01/05/2020,1,0,22,1,4,23,0,1,24,11,12,
02/05/2020,1,0,22,1,4,23,0,1,24,11,12,
03/05/2020,1,0,22,1,4,23,0,1,24,11,12,